,0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
0,-1,1,-1,1,-1,-1,-1,-1,1,0.0,-10.847738,614
1,-1,1,-1,1,-1,-1,-1,-1,-1,0.0,-9.808838000000002,91
2,-1,-1,-1,1,-1,-1,-1,-1,1,0.0,-9.287212999999998,29
3,1,-1,1,-1,1,-1,1,1,1,0.0,-9.248302000000002,88
4,1,1,1,-1,1,-1,1,1,1,0.0,-8.973327000000001,37
5,-1,1,-1,1,-1,1,-1,-1,1,0.0,-8.764491999999997,38
6,-1,1,-1,1,-1,-1,1,-1,1,0.0,-8.563498,8
7,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.479443,3
8,1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-8.309213,5
9,-1,-1,-1,1,-1,-1,-1,-1,-1,0.0,-8.248313,3
10,-1,1,-1,-1,-1,-1,1,-1,1,0.0,-8.232928000000001,2
11,1,-1,1,-1,1,-1,1,1,-1,0.0,-8.209402,10
12,1,-1,-1,-1,1,-1,1,1,1,0.0,-8.146697,16
13,1,1,1,-1,1,-1,1,1,-1,0.0,-7.934427,6
14,1,-1,-1,-1,1,-1,-1,-1,1,0.0,-7.9268030000000005,10
15,-1,1,-1,1,-1,1,-1,-1,-1,0.0,-7.725591999999998,10
16,-1,-1,-1,1,-1,1,-1,-1,1,0.0,-7.560206999999999,3
17,-1,1,-1,1,-1,-1,1,-1,-1,0.0,-7.524597999999998,3
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-7.440542999999999,1
19,1,-1,-1,1,-1,-1,-1,-1,1,0.0,-7.336823,1
20,1,-1,1,-1,1,1,1,1,1,0.0,-7.252448,6
21,-1,1,-1,-1,-1,-1,1,-1,-1,0.0,-7.194028000000002,2
22,1,-1,-1,-1,1,-1,1,1,-1,0.0,-7.107796999999999,3
23,-1,1,-1,1,-1,1,1,-1,1,0.0,-7.045151999999999,1
24,1,1,1,1,1,-1,1,1,1,0.0,-7.015156999999999,1
25,-1,1,1,1,-1,1,-1,-1,1,0.0,-6.9809969999999995,1
26,1,-1,-1,-1,1,-1,-1,-1,-1,0.0,-6.8879030000000006,1
27,-1,-1,-1,-1,-1,-1,1,-1,1,0.0,-6.800002999999999,1
28,1,1,1,-1,1,1,1,1,1,0.0,-6.621232999999999,2
29,-1,-1,-1,1,-1,1,-1,-1,-1,0.0,-6.521306999999999,1
30,1,-1,1,-1,1,1,1,1,-1,0.0,-6.213548,1
31,-1,1,1,1,-1,1,1,1,1,0.0,-6.076903000000001,1
32,-1,1,1,1,-1,1,-1,-1,-1,0.0,-5.9420969999999995,1
